,Topic,Words,Frequency,Timestamp
0,1,"sea water intrusion, certain fundamentals, briefly sea, studies example intrusion, studies example",1,1953
1,2,"base runoff, base, curve, runoff, storage",1,1962
2,-1,"water, florida, artesian, southern florida, artesian water",1,1963
3,2,"open hole, hole, water, open, pumped",1,1963
4,6,"proportion cu fluctuating, periods accumulation, proportion cu, cu fluctuating, proportion",1,1963
5,0,"c14, claiborne group, claiborne, water, title",2,1965
6,1,"hodograph, equation, valid, salt water, copyright 1965 american",2,1965
7,1,"basins, sub basins, flow, tend, digital",1,1967
8,2,"mass transfer, transfer, flow, lakes, mass",1,1967
9,1,"interface, nonhomogeneous, 1968, anisotropic, 1968 taylor francis",3,1968
10,2,"ppm, interface occur, digha, 500 ppm, 300",1,1968
11,2,"water, sinkholes, salt water, tarpon, tarpon springs",1,1969
12,-1,"materials, relates engineering, construction red river, river basin particularly, discharge interfered groundwater",1,1970
13,1,"water intrusion length, 1970, intrusion length, length, solution",3,1970
14,2,"1968, drainage, drainage basin, discharge, method",1,1970
15,4,"optimal, determines, determines optimal, optimal design, project",1,1970
16,20,"feet, basin, acre feet, illinois, acre",1,1970
17,-1,"gold, solute gold, gold concentrations, gold barren, nondetectable 150 nanograms",1,1971
18,0,"major elements, elements, management, means, discussed",1,1971
19,1,"1971 american geophysical, 1971 american, 1971, copyright 1971 american, copyright 1971",4,1971
20,2,"water, water head, fresh water, fresh, sea",4,1971
21,-1,"reflectance, 109, free wave, hertz, horn antenna",1,1972
22,0,"safe yield, karstic solution, garraf, garraf range, safe",2,1972
23,1,"theory, seabottom, interface drain, 1855, arbitrary number",2,1972
24,2,"moderately cemented, cemented, sandstones, moderately, discharge",1,1972
25,6,"pyrrhotite, ore, stratigraphic, isotopic, compositional",1,1972
26,0,"pollution, aquifer consisting, consisting, israel, coastal aquifer",1,1973
27,1,"hele shaw, hele, shaw, finger, fingers",2,1973
28,2,"discharge, groundwater discharge, groundwater, ir, studying",4,1973
29,21,"ground water discharge, ground water, water discharge baltic, ground, baltic sea",1,1973
30,-1,"oceanic, oceanic crust, crust, dense, water",1,1974
31,0,"refs, refs japanese, japanese, groundwater, water",1,1974
32,1,"semipervious, 1974, copyright 1974, semipervious layer, interface",5,1974
33,2,"lindane, bhc, heptachlor, detected, p1",1,1974
34,-1,"pollution, hydraulic forces, pollution protection, exact solutions, close agreement",2,1975
35,1,"pervious stratum, stratum, pervious, axis, velocities",2,1975
36,2,"pingos, water, lenses, grow, ice",3,1975
37,0,"highly brackish, processes going area, water 250 open, aquifer kaniti paravada, water 250",1,1976
38,1,"interface, model, aquifer, flow, 1976",5,1976
39,2,"eakin, maxey eakin, maxey, 1976, groundwater",4,1976
40,-1,"springs, waikoropupu springs, waikoropupu, pulse, flow",1,1977
41,0,"orange county, orange, county, water, district",2,1977
42,1,"phreatic surface, phreatic, interface, interface phreatic surface, interface phreatic",5,1977
43,2,"stations, times greater stations, discharge littoral zone, flow rate varied, discharges stations eastern",1,1977
44,1,"semipervious, biem, flow, semipervious layer, phreatic",3,1978
45,2,"drainage, 1978, channel, recharge sources, head ratio",3,1978
46,3,"resistivity, thickness effect, thickness, apparent thickness, apparent thickness effect",2,1978
47,-1,"respect calcite, 1979 american geophysical, 1979 american, proposed algorithm, calcite",2,1979
48,0,"water, county, imported, facility, orange county",4,1979
49,2,"runoff, ridging, apparently, groundwater, generation",2,1979
50,6,"dolomites, dolomite, coorong, nodules, skillogallee dolomite formation",2,1979
51,20,"cooling lake, cooling, temperatures, lake, thermally altered",1,1979
52,-1,"uranium, playas, playa, playa sediments, accumulation uranium",2,1980
53,0,"water rock, rock, rock ratios, water rock ratios, cooling",1,1980
54,1,"aquifer, model, 1980, water, spatial distribution fresh",3,1980
55,2,"electric analog, water, analog, waste water, waimanalo",3,1980
56,10,"river teshio, teshio, freshwater seawater, subtemperate zone, generalized common subtemperate",1,1980
57,-1,"lake, watershed, february 1978, mission february, climatic hydrological physical",2,1981
58,0,"groundwater, drift, bedrock, chemical, na bicarbonate",3,1981
59,1,"baptiste lake, baptiste, lake, 1981, model",4,1981
60,2,"groundwater, 1981, runoff, discharge, groundwater discharge",7,1981
61,3,"dewatering, water, salt groundwater near, years simulations interface, km2 investigated",1,1981
62,6,"platform, florida, mmole kg, fold, percolating seawater",1,1981
63,-1,"microwave, surface temperature salinity, temperature salinity, salinity, radiometers",1,1982
64,0,"water, iodide, groundwater, drift, na bicarbonate",3,1982
65,1,"dispersion, aquifer, model, 1982, interface",5,1982
66,3,"rapid inexpensive, personnel, interpretation, inexpensive, interference",1,1982
67,4,"models, idrosim, called, model, model called",1,1982
68,-1,"water, parameters, aquifers, guyana, water galleries",3,1983
69,1,"interface, water, flow, gallery, aquifer",6,1983
70,2,"groundwater, water, 1983, molai, flow",7,1983
71,-1,"model, development, groundwater, surface, surface groundwater",5,1984
72,0,"sibling, runoff, iiil, snowmelt runoff, snowmelt",2,1984
73,1,"interface, fresh salt water, fresh salt, salt water, 1984",4,1984
74,2,"preevent, preevent water, aquatilis, water, mesotrophic",2,1984
75,4,"desired, linear programing, programing, pumping recharge, model",1,1984
76,6,"santorini, celestite, deposits, sediments, granada basin",2,1984
77,7,"southern coastal plain, coastal plain, southern coastal, waters, plain",1,1984
78,-1,"031so42, 031so42 contents, derived sulphide, derived sulphide mineralization, sulphide mineralization",1,1985
79,1,"interface, 1985, model, cm2 sec, water",8,1985
80,2,"1985, hydraulic conductivity, conductivity, hydraulic, discharge",6,1985
81,6,"peninsular florida, occurrence dolomite, dolomite, peninsular, cores",1,1985
82,20,"release elastic, epicentral area, epicentral, spectacular, elastic",1,1985
83,0,"trout, water, age, positions, focal point water",2,1986
84,1,"flow, interface, toe, prior information, dispersion",6,1986
85,2,"drainage, water, groundwater, agricultural drainage, discharge",8,1986
86,3,"acoustic penetration, acoustic, penetration, bathymetric, areas acoustic penetration",1,1986
87,8,"edb, liter, μg liter, edb contaminated, degraded",1,1986
88,-1,"water, ground water, ground, fresh ground water, fresh ground",3,1987
89,0,"unsaturated, unsaturated zone, solute, solute concentration, rainfall",1,1987
90,1,"model, aquifer, intrusion, dispersion, flow",12,1987
91,2,"groundwater, discharge, soil, 1987, rainfall",11,1987
92,6,"seams, coal, coals, starved, fluvial delta plain",1,1987
93,-1,"chloride, water, groundwater, method, recharge",8,1988
94,0,"chloride ion, private, ion, water, diseconomies",2,1988
95,1,"plane, dispersion, aquifer, flow, dispersion coefficient",7,1988
96,2,"discharge, water, groundwater, flow, 1988",8,1988
97,3,"isochlor, soundings, 500 ppm isochlor, ppm isochlor, monitoring wells",2,1988
98,4,"groundwater pumping recharge, planning model, pumping recharge, control, pumping",1,1988
99,6,"porosity, cementation, calcrete, diagenetic, carbonates",4,1988
100,20,"deposits, gas deposits, hydraulic theory, gas, michigan",1,1988
101,-1,"groundwater, water, subregions, flow, 1989",11,1989
102,0,"water, mf mcl, mf, mcl, coastal",5,1989
103,1,"dispersion, coefficients dispersivities, dispersion coefficients dispersivities, retreating advancing, mixing type",1,1989
104,2,"water, fen, groundwater, playa, discharge",12,1989
105,4,"problem optimum design, designs systems type, systems type, coastal aquifers consideration, connection problem optimum",1,1989
106,6,"000, deposits, 000 yr, ephemeral, trough cross",4,1989
107,8,"ontario, lake ontario, lake, sites, sites km shore",1,1989
108,12,"dissolution, mixing, mixing zone, calcite, porosity",1,1989
109,-1,"groundwater, water, 1990, discharge, playas",11,1990
110,0,"maturation, die, la, des, der",5,1990
111,1,"interface, model, flow, water, aquifer",11,1990
112,2,"groundwater, discharge, area, basin, water",11,1990
113,3,"canyon, lower canyon, upper canyon, lower, fresh water",2,1990
114,6,"sand seas, seas, pseudobioherms, sand, springs",3,1990
115,7,"peak cluster, cluster area, peak cluster area, lijiang plain, lijiang",2,1990
116,10,"isolates, gasoline, catabolic, groups, bacteria",1,1990
117,20,"flow, artesian, permafrost, artesian flow, permeable outcrops",2,1990
118,-1,"groundwater, discharge, precipitation, springs, water",10,1991
119,0,"water, stream bed, groundwater, perfusion, immobilized",7,1991
120,1,"aquifer, finite, 1991, method, interface",7,1991
121,2,"ground water, ground, water, groundwater, wetlands",8,1991
122,3,"tdem, resistivity, saline water, electrical, electrical resistivity",2,1991
123,6,"playa, ma, duricrust, glauberite, takaka",4,1991
124,13,"climatic change, perth, change, rainfall, effects",1,1991
125,15,"rise, sea level, sea, level, coastal",2,1991
126,-1,"water, groundwater, discharge, bog, recharge",8,1992
127,0,"groundwater, dfaas, immobilization, water, carbon",4,1992
128,1,"permeable layer, permeable, layer, dispersion, dispersion coefficient",4,1992
129,2,"groundwater, discharge, water, 1992, salt",11,1992
130,6,"tabular, type uranium, type uranium deposits, tabular type, tabular type uranium",1,1992
131,7,"interpretation structural, structural, area, karst, tectonic",1,1992
132,15,"surface runoff, runoff, watertable, increase surface runoff, increase surface",1,1992
133,20,"ma rocks, rocks, ma, permeability, thermal observations",1,1992
134,-1,"water, groundwater, discharge, area, 1993",17,1993
135,0,"deethylatrazine, atrazine deethylatrazine, atrazine, water, river",3,1993
136,1,"water, model, aquifer, flow, 1993",9,1993
137,2,"discharge, groundwater, water, soil, groundwater discharge",21,1993
138,6,"gypseous, mn, lake, clay, uluru clay",2,1993
139,7,"holocene deposits, deposits, english summary, holocene, semipermeable",2,1993
140,9,"soil, 15 bars, fine textured, soils, textured",1,1993
141,-1,"water, groundwater, discharge, flow, saline",12,1994
142,0,"groundwater, water, atrazine, 1994, degradation",9,1994
143,1,"karstified, ground water flow, detrital, high saline content, detrital materials",1,1994
144,2,"flow, groundwater, water, stormflow, event",11,1994
145,3,"profiles, profile, salt distribution, salt, rivers abandoned",2,1994
146,6,"basin, carbonation, basins, discharge, peat accumulation",5,1994
147,14,"purging, head loss, diffuser, loss, head",1,1994
148,-1,"lake, groundwater, water, spring, basin",10,1995
149,0,"water, groundwater, lagoon, 1974, 1995",6,1995
150,1,"model, ground water, flow, ground, water",7,1995
151,2,"groundwater, discharge, water, lake, base",8,1995
152,3,"recovered, tdem, conductive, conductive body, distortions",1,1995
153,4,"supplemental water, supplemental, water, constraints, minimize",1,1995
154,6,"gypsum, lake, ka, yr, quartz",4,1995
155,7,"levels, sulfur waters, regimen, sulfur, pci",1,1995
156,11,"stream, habitat, reservoir, hypolimnion, temperatures",1,1995
157,19,"osds, septic, pathogens, studies, septic design",1,1995
158,-1,"nom, groundwater, recharge, water, ch3hg",12,1996
159,0,"water, groundwater, concentrations, nitrogen, aquifer",11,1996
160,1,"model, interface, intrusion, injection, water",9,1996
161,2,"trees, water, groundwater, discharge, soil",8,1996
162,3,"resistivity, intrusion, correlated layers, resistivity correlated layers, resistivity correlated",3,1996
163,4,"optimal, drawdowns, pumping, optimal pumpage, productive wells",1,1996
164,6,"shale, pelletoid micrite, pelletoid, zoned, micrite",1,1996
165,11,"pipe, pipe stream, stream, old, ephemeral pipe",1,1996
166,12,"reactive, dilution rates, oxide, mixture, dimensional models",1,1996
167,16,"coastal, elevation, super elevation, waves, groundwater",1,1996
168,20,"fault, country rock, permeability, fault zone, country",1,1996
169,22,"hhs, hhs maps, contours, hydrogeomorphic, maps",1,1996
170,-1,"water, so4, community, karst, groundwater",6,1997
171,0,"groundwater, water, concentrations, seawater, samples",18,1997
172,1,"aquifer, model, groundwater, flow, intrusion",13,1997
173,2,"water, runoff, groundwater, flood, discharge",10,1997
174,3,"seawater, monitoring, intrusion, observation, tdem",2,1997
175,4,"h1, hypotheses, wights, model hypotheses, catchment",1,1997
176,6,"crusts, oleananes, basin, hydrothermal, mn crusts",3,1997
177,7,"landslide, hilltop, hilltop towns, landsliding, age",2,1997
178,21,"discharge, electrical, sediment probe, lakes, piezometers",1,1997
179,-1,"water, groundwater, flow, discharge, methane",15,1998
180,0,"water, groundwater, ba, high, ground water",14,1998
181,1,"interface, model, aquifer, flow, groundwater",13,1998
182,2,"soil, groundwater, discharge, water, creek",6,1998
183,3,"canal, resistivity, high conductivity zone, conductivity zone, km",2,1998
184,4,"constraints, optimization, model, water, simulation",3,1998
185,5,"vulnerability, aquifer media, index, drastic, media",1,1998
186,6,"carbonate, lake, formation, stromatolites, lake walyungup",4,1998
187,7,"traura, nebrodi, monte traura, sicily, water",2,1998
188,8,"dps, opp, ppp, μg, spoil",3,1998
189,21,"coastal, successful, groundwater monitoring, monitoring, flow coast practical",1,1998
190,-1,"water, groundwater, aquifer, discharge, coastal",20,1999
191,0,"water, groundwater, cl, denitrification, quality",15,1999
192,1,"aquifer, model, water, tidal, flow",11,1999
193,2,"groundwater, water, discharge, soil, habitat",11,1999
194,3,"injections, water pressure changes, water injections, pressure changes, pore water pressure",1,1999
195,4,"management, multiple objective, multiple objective management, models, aquifer",2,1999
196,5,"intrusion degree, june, intrusion, degree, 1993 june",1,1999
197,6,"kvarner, velebit, sandy sediments, vinodol, kvarner region",1,1999
198,7,"landslide, underground erosion, aquifer, erosion, landslide activity",4,1999
199,12,"amendments, colloid, immobile matrix, reaction order, immobile",1,1999
200,13,"climate change, climate, change, consequences, debate",1,1999
201,16,"france, salinity, spring comparison salinity, maritimes france, springs académie",1,1999
202,20,"decreased, glaciers, groundwater, discharge decreased, little ice age",1,1999
203,21,"np, np data, potential, residual np, karst terrane",1,1999
204,-1,"groundwater, water, concentrations, aquifer, karst",16,2000
205,0,"groundwater, water, aquifer, concentrations, dissolved",18,2000
206,1,"water, aquifer, model, equation, groundwater",17,2000
207,2,"variant, water, snow, green variant, grey",5,2000
208,3,"landfill, resistivity, coastal, water, leachate",4,2000
209,4,"optimization, flow transport equations, solution, simulation, equations",2,2000
210,6,"lake, unit, late, ores, peinado",4,2000
211,7,"reactivation, springs, fault reactivation, fault, water",6,2000
212,8,"benzene, lake, biodegradation, mass balance studies, hbha",1,2000
213,12,"gt, gt model, transport, sulphate, cation",2,2000
214,15,"island, evaluating, streams simple classification, extreme topography identification, classification island",1,2000
215,20,"fault, faults, coal seams, indicate, seams",1,2000
216,-1,"water, groundwater, discharge, aquifer, spring",13,2001
217,0,"groundwater, water, coastal, aquifer, concentrations",30,2001
218,1,"aquifer, model, flow, groundwater, water",36,2001
219,2,"groundwater, water, discharge, zone, surface",9,2001
220,3,"water, resistivity, saline, electrical, aquifer",10,2001
221,4,"main reservoir, reservoir, problem, stochastic, single",1,2001
222,6,"lake, tufa, carbonate, basin, water",9,2001
223,7,"pleistocene, holocene, sea, groundwater, water",3,2001
224,8,"mtbe, concentrations, ditch, groundwater, ams",4,2001
225,9,"salinity, zones, low salinity zones, high intermediate, water quality high",1,2001
226,12,"clay, freshening, dispersion, clay dispersion, aquifers",2,2001
227,14,"brackish, desalination, water, brackish water, strategy",1,2001
228,21,"ground water, ground, submarine ground, submarine ground water, meter",2,2001
229,-1,"groundwater, water, discharge, flow, aquifer",23,2002
230,0,"groundwater, water, coastal, concentrations, discharge",35,2002
231,1,"aquifer, water, flow, model, solution",22,2002
232,2,"groundwater, discharge, water, groundwater discharge, areas",10,2002
233,3,"ufa, resistivity, zone, formation resistivity, specific capacity",3,2002
234,4,"best, minimizing, approach, approach used, optimal",1,2002
235,6,"sasm, evaporite, collapse, andes, ka",3,2002
236,7,"sands, coastal sands, surface water, groundwater surface water, groundwater surface",1,2002
237,8,"hch, backfills, heavy, groundwater, concentrations",5,2002
238,9,"soil, stomatal density, irrigation, stomatal, water",2,2002
239,12,"cation exchange, cation, exchange, phreeqm, seawater fresh water",1,2002
240,16,"hpz, water exchange hpz, exchange hpz, ocean, water exchange",1,2002
241,17,"lakes, lake, mineral, graphical techniques reaction, salts different",1,2002
242,20,"fault, faults, displacement, fault displacement, fault displacement development",1,2002
243,21,"diurnal, semi, semi monthly, diurnal semi, diurnal semi diurnal",1,2002
244,22,"natural groundwater resources, natural groundwater, groundwater, regional assessment, groundwater resources",1,2002
245,-1,"groundwater, water, discharge, recharge, aquifer",26,2003
246,0,"groundwater, water, sgd, coastal, seawater",47,2003
247,1,"aquifer, model, groundwater, sea, equation",20,2003
248,2,"groundwater, water, discharge, flow, drought",6,2003
249,3,"electrical, resistivity, geophysical, data, high flux",4,2003
250,4,"model, optimization, models, optimal, aquifer",5,2003
251,6,"biofacies, 87sr 86sr, 87sr, 86sr, channels",3,2003
252,7,"lihue basin, southern lihue basin, lihue, southern lihue, sabkhas",3,2003
253,9,"soilless, nutrient solution, lettuce, plant, salt stress",1,2003
254,10,"lkc group, lkc, group, group ii, rrna",1,2003
255,12,"mg2 ca2 ratios, ca2 ratios, so42 cl, mg2 ca2, ratios",2,2003
256,14,"brine, desalination, hypochlorite 8mg, sodium hypochlorite, 25mg",2,2003
257,16,"ice, fluid, coastal, flow, land",3,2003
258,20,"thermal, midway, subsurface mixing, thermal water, mixing",1,2003
259,21,"seepage, meters, seepage meters, discharge, sgd",5,2003
260,-1,"groundwater, water, discharge, flow, aquifer",28,2004
261,0,"water, groundwater, coastal, aquifer, concentrations",30,2004
262,1,"model, flow, aquifer, water, groundwater",40,2004
263,2,"groundwater, water, rainwater, rainwater lens, discharge",6,2004
264,3,"resistivity, fresh, water, ground water, ground",9,2004
265,4,"model, optimization, cost, optimal, simulation",7,2004
266,5,"vulnerability, ground water, ground, calod, aquifer",3,2004
267,6,"lacustrine, basin, lake, waters, episodes",4,2004
268,7,"yafo formation, yafo, kurkar group aquifer, kurkar group, group aquifer",3,2004
269,8,"streambed, plume, pce, high, near river zone",1,2004
270,9,"soil, accumulation, salinity, water, reuse",1,2004
271,12,"exchange, cation, magothy, dissolution, experiments",4,2004
272,13,"climate, climate change, change, human, freshwater resources",1,2004
273,15,"neritic, estuarine area, sub regions, regions, gulf",1,2004
274,19,"fib levels, agents, fib, beach, csiro 2004",1,2004
275,20,"fissure, young, channels, flood, m2 produce",1,2004
276,21,"sgd, seepage, tidal, ground water, ground",2,2004
277,-1,"groundwater, water, aquifer, discharge, flow",30,2005
278,0,"groundwater, water, seawater, waters, coastal",43,2005
279,1,"flow, model, aquifer, groundwater, water",30,2005
280,2,"groundwater, stream, discharge, flow, temperature",9,2005
281,3,"regularization parameter, aquifer, regularization, water, resistivity",4,2005
282,4,"model, optimization, management, simulation, optimal",8,2005
283,5,"vulnerability, vulnerability nitrate contamination, vulnerability nitrate, groundwater vulnerability nitrate, nitrate contamination",2,2005
284,6,"bp, bioherms, marine, lake, makirina",4,2005
285,7,"deep aquifers, lake, deep, aquifer, aquifers",2,2005
286,8,"procymidone, atrazine, hexazinone, sorption, pesticides",2,2005
287,9,"soil, irrigation, salinity, drip, ds",1,2005
288,11,"river, evasion, hg, jordan, jordan river",2,2005
289,12,"dissolution, mixing, end, transport, end members",1,2005
290,13,"climate, variations, rgwm, gcm, climate variations",1,2005
291,15,"sea, sea level, rise, coastal, level",2,2005
292,16,"coastal, large saline discharges, saline discharges, large saline, interface moves",1,2005
293,20,"fractures, irt, fracture, flow, fluid",2,2005
294,21,"sgd, ground water, ground, changes sgd, ground water discharge",1,2005
295,-1,"groundwater, water, discharge, aquifer, coastal",40,2006
296,0,"groundwater, water, sgd, seawater, concentrations",59,2006
297,1,"model, water, aquifer, groundwater, flow",39,2006
298,2,"groundwater, water, stream, discharge, soil",14,2006
299,3,"resistivity, data, seawater, water, electrical",15,2006
300,4,"optimization, pumping, model, groundwater, coastal",4,2006
301,5,"vulnerability, boreholes, protection, groundwater, area",2,2006
302,6,"dust, lake, mhc, ikaite, summer monsoon",3,2006
303,7,"faults, groundwater, groundwater head, compartmentalisation, aquifer",2,2006
304,8,"pit, sulfate, concentrations, quality, water",4,2006
305,9,"soil, paddy, sar, paddy fields, salinity",1,2006
306,10,"communities, clones, microbial, clones exhibiting, communities site",1,2006
307,12,"dissolution, second derivative, ceq, transport, mixing",1,2006
308,13,"fresh groundwater, fresh groundwater resources, fresh, resources, groundwater resources",1,2006
309,16,"sgd, estuarine ecology, questions, ecology, implications",1,2006
310,21,"sgd, seepage, ground water, ground, seepage meters",2,2006
311,22,"wj, water table, table, groundwater, recharge",1,2006
312,-1,"water, groundwater, discharge, coastal, aquifer",41,2007
313,0,"groundwater, water, sgd, coastal, concentrations",65,2007
314,1,"aquifer, flow, model, water, groundwater",48,2007
315,2,"discharge, litter, groundwater, stream, forest",10,2007
316,3,"resistivity, electrical, groundwater, geophysical, intrusion",10,2007
317,4,"optimization, model, simulation, management, ann",5,2007
318,5,"vulnerability, groundwater, drastic, recharge, aquifer",4,2007
319,6,"spring, regional, jafr basin, juwit, juwit el ghuweir",2,2007
320,7,"supramonte, mortola, la mortola, sardinia, outcrops",2,2007
321,8,"tailings, fe iii, fe, humics, lactate",4,2007
322,9,"wheat, stubble, truncata, soil, shoot stubble",1,2007
323,10,"sample, aquifer sample, archaea, diversity, detected",1,2007
324,11,"stream, streambed, streambed temperatures, temperatures, fluxes",3,2007
325,12,"porosity, equilibrium, initial changes porosity, initial changes, dissolution",1,2007
326,16,"sand dune systems, dune, dune systems, discharge, tidal",1,2007
327,17,"lakes, lake, morphological, evolution groundwater, water",1,2007
328,22,"head flow, ephemeral drainage, hq, head, ephemeral",1,2007
329,-1,"groundwater, water, discharge, flow, aquifer",42,2008
330,0,"groundwater, water, sgd, seawater, coastal",74,2008
331,1,"aquifer, model, groundwater, water, coastal",38,2008
